milliseconds,orientationx,orientationy,orientationz,angVelocityx,angVelocityy,angVelocityz,linAccelerationx,linAccelerationy,linAccelerationz,magneticx,magneticy,magneticz,accelerationx,accelerationy,accelerationz,gravityx,gravityy,gravityz,altitude
5524044,125.44,-23.62,-163.62,-3.34,-0.51,-0.10,-1.03,-1.55,-0.52,30.06,-16.00,31.06,-4.88,1.09,-8.99,-3.98,2.80,-8.51,50.67
5524075,124.19,-24.69,-158.19,-3.10,-0.69,-0.18,-0.53,-2.06,-0.96,31.88,-20.06,27.50,-4.55,1.32,-9.09,-4.16,3.52,-8.14,50.54
5524103,123.25,-26.06,-153.94,-2.04,-0.93,-0.09,-0.44,-2.14,-0.59,33.75,-23.06,22.19,-5.00,1.95,-8.47,-4.38,3.99,-7.80,50.61
5524134,123.12,-27.69,-151.19,-1.11,-1.24,0.09,-0.47,-1.68,-0.61,33.75,-23.06,22.19,-5.14,3.07,-7.86,-4.65,4.25,-7.51,50.58
5524165,123.62,-29.50,-149.00,-0.82,-1.41,0.22,-0.39,-0.33,-0.25,34.50,-25.56,18.25,-5.32,4.13,-7.46,-4.92,4.46,-7.20,50.56
5524193,124.19,-31.25,-146.19,-1.29,-1.40,0.30,-0.67,-0.18,-0.18,34.50,-25.56,18.25,-6.01,4.57,-7.20,-5.17,4.77,-6.82,50.59
5524224,38.00,-32.88,-142.44,-1.63,-1.44,0.33,-0.77,0.01,-0.21,33.75,-27.50,17.00,-5.94,5.19,-6.24,-5.39,5.13,-6.37,50.43
5524252,36.88,-34.25,-138.62,-1.43,-1.33,0.35,0.00,-0.49,0.54,35.25,-28.25,10.25,-5.51,4.85,-5.53,-5.58,5.44,-5.95,50.48
5524278,37.12,-35.38,-135.88,-0.50,-1.26,0.39,-0.03,-0.97,0.63,35.25,-28.25,10.25,-5.96,4.41,-4.90,-5.73,5.58,-5.66,50.55
5524308,40.31,-36.50,-135.06,0.76,-1.35,0.32,-0.06,-1.41,0.62,35.69,-29.38,7.19,-5.90,4.14,-4.95,-5.83,5.56,-5.58,50.55
5524337,43.88,-37.44,-135.44,1.45,-1.38,0.12,1.18,-1.54,0.43,35.69,-29.38,7.19,-4.84,3.84,-5.10,-6.03,5.38,-5.54,50.51
5524366,50.19,-39.00,-136.62,1.54,-1.34,0.02,1.41,-1.07,1.16,35.00,-30.06,6.75,-4.82,4.07,-4.37,-6.24,5.14,-5.54,50.46
5524394,56.25,-40.56,-137.94,1.38,-1.20,-0.10,1.09,-1.09,0.91,35.56,-30.06,5.50,-5.51,3.88,-4.79,-6.45,4.90,-5.51,50.42
5524425,62.12,-42.19,-139.06,1.34,-1.24,-0.11,0.87,-0.77,0.48,35.56,-30.06,5.50,-5.78,3.90,-4.98,-6.66,4.67,-5.47,50.46
5524454,67.81,-43.88,-140.19,1.26,-1.17,-0.13,0.34,-0.63,0.37,36.00,-29.75,5.88,-6.24,3.79,-4.97,-6.86,4.44,-5.40,50.51
5524485,72.81,-45.44,-141.12,1.07,-1.04,-0.14,0.56,-0.62,0.79,36.00,-29.75,5.88,-6.62,3.47,-4.62,-7.04,4.25,-5.33,50.53
5524515,77.19,-46.81,-142.06,1.01,-0.88,-0.22,0.11,-0.92,0.75,36.56,-28.56,5.00,-7.09,3.12,-4.52,-7.20,4.04,-5.27,50.59
5524544,81.94,-48.12,-143.50,1.27,-0.78,-0.22,0.15,-0.81,0.63,36.56,-28.56,5.00,-7.28,3.15,-4.55,-7.35,3.80,-5.25,50.67
5524575,86.88,-49.25,-145.31,1.32,-0.64,-0.24,-0.32,-0.78,0.90,37.25,-27.06,5.00,-7.96,2.73,-4.29,-7.47,3.55,-5.26,50.50
5524604,91.50,-50.31,-147.19,1.27,-0.55,-0.25,-0.64,-0.87,0.85,37.69,-27.50,5.50,-8.20,2.46,-4.42,-7.58,3.30,-5.26,50.50
5524635,96.19,-51.31,-149.19,1.24,-0.56,-0.27,-0.56,-0.81,0.96,37.69,-27.50,5.50,-8.25,2.28,-4.31,-7.69,3.05,-5.25,50.62
5524665,100.12,-52.38,-150.81,0.91,-0.56,-0.27,-0.37,-0.81,0.94,37.69,-26.38,5.88,-8.17,2.04,-4.25,-7.80,2.85,-5.20,50.56
5524694,102.88,-53.44,-151.62,0.48,-0.65,-0.20,-0.15,-0.79,0.98,37.69,-26.38,5.88,-8.01,2.00,-4.11,-7.91,2.74,-5.09,50.61
5524725,104.38,-54.75,-151.38,-0.06,-0.79,-0.11,0.15,-0.45,0.92,37.25,-25.56,6.75,-7.75,2.36,-4.13,-8.06,2.70,-4.88,50.46
5524755,104.00,-56.25,-149.62,-0.68,-0.99,-0.07,-0.22,-0.21,0.35,38.38,-25.56,4.56,-8.62,2.64,-4.28,-8.20,2.78,-4.59,50.49
5524786,102.75,-57.75,-146.75,-0.93,-1.09,0.04,-1.19,0.13,-0.29,38.38,-25.56,4.56,-9.53,3.04,-4.55,-8.33,2.91,-4.26,50.49
5524816,100.38,-58.81,-142.94,-1.28,-0.79,0.27,-1.17,-0.08,0.05,39.56,-25.56,2.75,-9.58,3.04,-3.90,-8.40,3.13,-3.95,50.55
5524845,96.81,-59.12,-138.88,-1.39,-0.44,0.38,-0.72,-0.60,0.45,39.19,-26.00,-0.75,-8.92,2.48,-3.07,-8.42,3.37,-3.71,50.51
5524875,94.94,-59.31,-136.19,-0.40,-0.43,0.22,0.34,-1.37,0.80,39.19,-26.00,-0.75,-8.10,2.10,-2.79,-8.44,3.47,-3.56,50.59
5524904,95.56,-59.75,-135.25,0.37,-0.53,0.11,0.63,-0.66,0.78,38.75,-26.00,-2.50,-7.91,2.90,-2.91,-8.49,3.46,-3.47,50.61
5524936,96.62,-60.38,-134.38,0.24,-0.60,0.07,0.41,-0.46,0.36,38.75,-26.00,-2.50,-8.17,2.87,-2.96,-8.54,3.45,-3.34,50.56
5524966,97.50,-61.00,-133.38,0.17,-0.56,-0.01,-0.34,-0.69,0.44,38.75,-27.50,-3.38,-8.94,2.74,-2.78,-8.59,3.44,-3.22,50.53
5524994,98.44,-61.62,-132.75,0.18,-0.45,-0.08,-0.49,-0.65,0.39,38.75,-27.50,-3.38,-9.16,2.77,-2.78,-8.64,3.40,-3.13,50.40
5525026,99.00,-62.12,-132.38,0.05,-0.27,-0.13,-0.32,-0.73,0.47,38.50,-26.00,-4.25,-8.81,2.54,-2.62,-8.68,3.36,-3.06,50.48
5525054,99.56,-62.62,-132.38,0.04,-0.13,-0.14,-0.01,-0.79,0.64,38.06,-26.38,-5.06,-8.66,2.56,-2.48,-8.72,3.31,-3.02,50.47
5525086,100.00,-62.94,-132.44,0.03,-0.13,-0.13,-0.06,-0.71,0.53,38.06,-26.38,-5.06,-8.85,2.58,-2.41,-8.75,3.26,-2.98,50.47
5525115,100.69,-63.56,-132.44,-0.00,-0.12,-0.09,0.00,-0.69,0.55,37.69,-26.38,-5.06,-8.85,2.45,-2.28,-8.79,3.19,-2.92,50.35
5525144,101.19,-64.12,-132.31,-0.07,-0.11,-0.05,0.00,-0.77,0.61,37.69,-26.38,-5.06,-8.81,2.38,-2.26,-8.84,3.14,-2.85,50.32
5525170,101.50,-64.69,-132.06,-0.12,-0.08,-0.04,0.02,-0.83,0.50,38.75,-25.25,-4.69,-8.86,2.30,-2.32,-8.87,3.09,-2.79,50.36
5525199,101.81,-65.06,-132.06,-0.06,-0.03,-0.02,0.07,-0.64,0.44,39.19,-25.56,-5.56,-8.81,2.42,-2.32,-8.89,3.06,-2.76,50.42
5525228,102.00,-65.31,-132.12,-0.01,0.00,-0.01,0.11,-0.52,0.27,39.19,-25.56,-5.56,-8.79,2.51,-2.47,-8.91,3.03,-2.74,50.43
5525256,102.31,-65.38,-132.25,0.03,0.01,-0.01,0.17,-0.57,0.23,39.19,-26.00,-4.69,-8.74,2.43,-2.50,-8.92,3.01,-2.74,50.43
5525287,102.56,-65.50,-132.50,0.01,0.02,-0.01,0.16,-0.51,0.18,39.19,-26.00,-4.69,-8.75,2.47,-2.55,-8.92,2.98,-2.74,50.40
5525317,102.69,-65.56,-132.50,-0.17,0.03,0.01,0.12,-0.57,0.27,38.75,-26.00,-4.69,-8.81,2.41,-2.45,-8.93,2.98,-2.73,50.42
5525346,102.44,-65.69,-132.31,-0.19,0.01,0.02,0.06,-0.53,0.35,38.50,-26.00,-6.00,-8.94,2.44,-2.44,-8.94,2.97,-2.70,50.44
5525376,102.44,-65.81,-132.19,-0.09,0.01,0.03,0.00,-0.41,0.13,38.50,-26.00,-6.00,-8.94,2.55,-2.55,-8.94,2.97,-2.69,50.47
5525405,102.62,-65.81,-132.19,-0.04,0.03,0.03,0.02,-0.35,0.20,38.75,-25.56,-4.69,-8.94,2.61,-2.46,-8.94,2.97,-2.69,50.46
5525436,102.62,-65.81,-132.19,-0.03,0.03,0.02,0.07,-0.36,0.26,38.75,-25.56,-4.69,-8.86,2.60,-2.43,-8.94,2.97,-2.69,50.35
